player,position,goals,assists,clean_sheets,yellow_cards,red_cards,Goals + Assists
Morice Michael Abraham,Midfielder,0,0,0,0,0,0
Mory Diaw,Goalkeeper,0,0,0,0,0,0
Moses Simon,Forward,0,0,4,2,0,0
Moshe Gaolaolwe,Defender,0,0,0,0,0,0
Mostafa Ahmed Shobeir,Goalkeeper,0,0,2,0,0,0
Mostafa Fathi,Defender,0,0,1,0,0,0
Mostafa Mohamed,Forward,0,1,2,0,0,1
Mothusi Cooper,Midfielder,0,0,0,0,0,0
Mothusi Johnson,Defender,0,0,0,0,0,0
Mouhamadou Diarra,Midfielder,0,0,3,2,0,0
Moussa Niakhate,Defender,0,0,4,0,0,0
Muhamed Tia Asad,Forward,0,0,0,0,0,0
Muhammed Usman Edu,Midfielder,0,0,0,0,0,0
Munashe Garananga,Defender,0,0,0,0,0,0
Munir Mohand Mohamedi,Goalkeeper,0,0,0,0,0,0
Mustafa Karshom,Defender,0,0,1,0,0,0
Myziane Maolida,Forward,0,0,2,0,0,0
Nader Ghandri,Midfielder,0,0,0,0,0,0
Naïm Sliti,Midfielder,0,0,0,0,0,0
Nasser Yacouba Djiga,Defender,0,0,0,0,0,0
Nathan Gassama,Defender,0,0,1,0,0,0
Nathanaël Mbuku,Forward,1,0,2,0,0,1
Nayef Aguerd,Defender,0,1,5,1,0,1
Neil El Aynaoui,Midfielder,0,0,5,0,0,0
Nene Dorgeles,Forward,0,0,1,2,0,0
Néstor Senra Pérez,Defender,0,0,0,0,0,0
Ngal'ayel Mukau,Midfielder,0,0,2,0,0,0
Nicolas Jackson,Forward,2,1,3,1,0,3
Nkosinathi Sibisi,Defender,0,0,0,1,0,0
Noah Sadiki,Midfielder,0,0,2,0,0,0
Nouhou Tolo,Defender,0,0,1,2,0,0
Noureddine Farhati,Goalkeeper,0,0,0,0,0,0
Noussair Mazraoui,Defender,0,1,5,0,0,1
Novatus Dismas,Midfielder,0,2,0,0,0,2
Núrio Fortuna,Defender,0,0,1,0,0,0
Obite Evan N'Dicka,Defender,0,0,2,0,0,0
Olatoundji Tessilimi,Midfielder,0,0,0,0,0,0
